# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1126.4000 M483 2445389 1 166.8082 dtn2_27 ADB9 137 N dtn2_27->ADB9
1156.5000 M535 1973499 1 85.8746 dtn2_26 ADB9 138 N dtn2_26->ADB9
1181.1000 M580 2004019 4 26.8719 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
1195.0000 M591 2252095 1 12.5441 dtn2_28 ADB9 139 N dtn2_28->ADB9
1272.1000 M622 1588592 4 15.8607 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1287.4000 M561 2200928 1 176.3368 dtn2_27 ADB9 137 N dtn2_27->ADB9
1295.5000 M615 2011858 1 55.4937 dtn2_27 ADB9 139 N dtn2_27->ADB9
1319.4000 M621 1561040 1 67.2283 dtn2_26 ADB9 138 N dtn2_26->ADB9
1328.2000 M581 1188917 6 173.2045 dtn4_32 ADB9 137 N dtn4_32->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
1328.8000 M548 1524737 6 233.5283 dtn4_32 ADB9 136 N dtn4_32->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
1356.8000 M641 1708887 6 54.1674 dtn5_36 ADB9 139 N dtn5_36->dtn5_37->dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1357.6000 M655 1864681 4 21.0162 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1369.4000 M653 2889318 4 34.6565 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
1403.2000 M664 1008641 1 55.3628 dtn2_28 ADB9 139 N dtn2_28->ADB9
1408.9000 M536 1402523 1 336.7643 dtn2_28 ADB9 134 N dtn2_28->ADB9
1423.5000 M565 2436332 6 299.2997 dtn8_46 ADB9 135 N dtn8_46->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
1424.1000 M555 1321831 6 321.8262 dtn8_46 ADB9 134 N dtn8_46->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
1476.8000 M708 1565990 1 39.5684 dtn2_27 ADB9 139 N dtn2_27->ADB9
1486.1000 M479 2319404 1 532.9158 dtn2_27 ADB9 131 N dtn2_27->ADB9
1509.6000 M553 2706958 1 408.3180 dtn2_28 ADB9 133 N dtn2_28->ADB9
1517.7000 M516 2010340 1 473.1646 dtn2_28 ADB9 132 N dtn2_28->ADB9
1551.8000 M706 2539440 1 115.8992 dtn2_27 ADB9 138 N dtn2_27->ADB9
1558.7000 M592 1708194 1 376.1317 dtn2_27 ADB9 133 N dtn2_27->ADB9
1565.4000 M744 1657041 1 68.5575 dtn2_27 ADB9 138 N dtn2_27->ADB9
1593.8000 M766 2970119 1 48.3552 dtn2_28 ADB9 139 N dtn2_28->ADB9
1604.6000 M335 2692060 1 931.5924 dtn2_28 ADB9 124 N dtn2_28->ADB9
1610.6000 M578 1482219 1 462.3967 dtn2_28 ADB9 132 N dtn2_28->ADB9
1620.3000 M763 2373401 4 83.7219 dtn5_37 ADB9 138 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
1635.0000 M802 2906722 4 21.6766 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
1652.0575 M574 1801597 1 511.9040 dtn2_27 ADB9 131 N dtn2_27->ADB9
1661.9000 M464 2459161 1 726.3361 dtn2_27 ADB9 127 N dtn2_27->ADB9
1665.7000 M779 1121202 4 78.3396 dtn5_36 ADB9 138 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1666.3000 M817 1408326 5 20.4583 dtn5_37 ADB9 139 N dtn5_37->dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
1666.9000 M813 1311508 4 32.0943 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1689.4000 M566 2475438 1 563.5318 dtn2_28 ADB9 130 N dtn2_28->ADB9
1695.5000 M632 1500111 1 421.2219 dtn2_28 ADB9 132 N dtn2_28->ADB9
1702.8000 M815 1807258 1 58.7443 dtn2_28 ADB9 139 N dtn2_28->ADB9
1709.4000 M837 1294353 4 15.4884 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1752.3000 M660 2232826 1 406.8519 dtn2_27 ADB9 133 N dtn2_27->ADB9
1756.9000 M644 1125636 1 450.6582 dtn2_27 ADB9 132 N dtn2_27->ADB9
1762.1000 M640 1278080 1 460.9654 dtn2_27 ADB9 132 N dtn2_27->ADB9
1781.7000 M689 2817209 1 382.3057 dtn2_26 ADB9 133 N dtn2_26->ADB9
1813.5769 M879 2191510 4 12.9961 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
1842.5000 M692 2726414 1 433.7307 dtn2_26 ADB9 132 N dtn2_26->ADB9
1847.0000 M735 1100196 1 357.0165 dtn2_26 ADB9 134 N dtn2_26->ADB9
1855.2000 M626 2026731 1 591.1234 dtn2_26 ADB9 130 N dtn2_26->ADB9
1860.0000 M907 1783986 4 16.7930 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
1860.7000 M886 1586573 4 45.5722 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
1894.1000 M912 2540430 1 30.1345 dtn2_28 ADB9 139 N dtn2_28->ADB9
1903.0000 M797 2221535 1 295.1814 dtn2_28 ADB9 135 N dtn2_28->ADB9
1912.6000 M899 2618019 4 80.2891 dtn5_37 ADB9 138 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
1947.1000 M518 2630100 1 897.2201 dtn2_27 ADB9 125 N dtn2_27->ADB9
1967.4000 M785 2736464 1 372.2319 dtn2_26 ADB9 133 N dtn2_26->ADB9
1987.5000 M714 2252332 1 541.2635 dtn2_28 ADB9 130 N dtn2_28->ADB9
1995.9000 M875 2778233 6 208.3728 dtn4_33 ADB9 136 N dtn4_33->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
1996.4000 M874 1195555 6 211.2544 dtn4_33 ADB9 136 N dtn4_33->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
2020.3000 M969 2597624 4 15.4439 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
2033.6000 M842 2416809 6 333.6175 dtn8_46 ADB9 134 N dtn8_46->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
2034.4000 M836 1799155 6 340.6866 dtn8_44 ADB9 134 N dtn8_44->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
2046.9000 M993 2112336 1 9.7072 dtn2_27 ADB9 139 N dtn2_27->ADB9
2056.5000 M889 2391776 1 235.3705 dtn2_27 ADB9 136 N dtn2_27->ADB9
