# time  ID  size  fromHost  toHost  TTL  isResponse
283.6251 M146 1109072 dtn4_32 ADB9 140 N 
284.9225 M147 1839088 dtn2_28 ADB9 140 N 
290.0606 M148 2387512 dtn8_45 ADB9 140 N 
291.0764 M149 2181262 dtn7_43 ADB9 140 N 
291.4614 M150 2322553 dtn1_24 ADB9 140 N 
291.5128 M151 2167772 dtn1_25 ADB9 140 N 
292.5123 M152 1826370 dtn1_25 ADB9 140 N 
293.1964 M153 2101798 dtn8_45 ADB9 140 N 
294.8678 M154 2091925 dtn6_40 ADB9 140 N 
295.0131 M155 2972891 dtn1_25 ADB9 140 N 
297.9787 M156 1553518 dtn7_43 ADB9 140 N 
299.8912 M157 1284100 dtn7_42 ADB9 140 N 
304.1675 M158 1182174 dtn2_27 ADB9 140 N 
306.3399 M159 1668212 dtn4_32 ADB9 140 N 
309.1670 M160 2024342 dtn3_31 ADB9 140 N 
310.3204 M161 2348451 dtn5_37 ADB9 140 N 
310.8194 M162 2103880 dtn4_33 ADB9 140 N 
317.5697 M163 2656381 dtn7_43 ADB9 140 N 
318.9529 M164 2114169 dtn5_36 ADB9 140 N 
322.1069 M165 2172636 dtn4_34 ADB9 140 N 
323.4510 M166 1249177 dtn6_38 ADB9 140 N 
325.4377 M167 1217958 dtn1_23 ADB9 140 N 
326.2395 M168 2012443 dtn5_36 ADB9 140 N 
327.0049 M169 1405196 dtn6_40 ADB9 140 N 
332.7198 M170 1337760 dtn7_41 ADB9 140 N 
341.0617 M171 2883370 dtn3_30 ADB9 140 N 
342.9834 M172 2860878 dtn2_28 ADB9 140 N 
344.1532 M173 2838599 dtn3_29 ADB9 140 N 
345.7942 M174 2307078 dtn1_23 ADB9 140 N 
346.2817 M175 2516636 dtn1_24 ADB9 140 N 
348.4404 M176 1265115 dtn5_37 ADB9 140 N 
354.6094 M177 1623359 dtn6_38 ADB9 140 N 
355.5636 M178 1293385 dtn8_46 ADB9 140 N 
355.7467 M179 2934226 dtn3_29 ADB9 140 N 
356.3572 M180 2287682 dtn3_31 ADB9 140 N 
356.4547 M181 1857726 dtn4_33 ADB9 140 N 
357.7384 M182 1522000 dtn3_30 ADB9 140 N 
360.3124 M183 1650680 dtn8_44 ADB9 140 N 
360.6277 M184 1939621 dtn3_31 ADB9 140 N 
361.7045 M185 2204869 dtn4_34 ADB9 140 N 
361.7892 M186 2908064 dtn7_42 ADB9 140 N 
362.6220 M187 1243196 dtn6_40 ADB9 140 N 
364.7300 M188 1027788 dtn3_31 ADB9 140 N 
367.3464 M189 2977224 dtn3_31 ADB9 140 N 
374.5787 M190 1878324 dtn5_37 ADB9 140 N 
376.8797 M191 1715610 dtn3_31 ADB9 140 N 
377.1919 M192 1663690 dtn2_28 ADB9 140 N 
383.6507 M193 2653328 dtn1_24 ADB9 140 N 
383.9362 M194 2549490 dtn4_32 ADB9 140 N 
386.0414 M195 2965963 dtn4_32 ADB9 140 N 
387.4445 M196 1807429 dtn5_37 ADB9 140 N 
389.1904 M197 1666611 dtn3_30 ADB9 140 N 
389.5091 M198 2189890 dtn1_25 ADB9 140 N 
389.8658 M199 2795095 dtn4_32 ADB9 140 N 
392.4604 M200 2219739 dtn6_38 ADB9 140 N 
403.7485 M201 1072058 dtn3_30 ADB9 140 N 
404.1789 M202 1610562 dtn8_46 ADB9 140 N 
404.7075 M203 2744252 dtn6_39 ADB9 140 N 
404.8731 M204 1761960 dtn2_28 ADB9 140 N 
405.6543 M205 2564568 dtn5_35 ADB9 140 N 
408.4576 M206 2757661 dtn6_39 ADB9 140 N 
409.9649 M207 2051649 dtn5_37 ADB9 140 N 
414.0502 M208 2788589 dtn7_42 ADB9 140 N 
416.0075 M209 2675404 dtn3_30 ADB9 140 N 
418.5180 M210 2514049 dtn7_42 ADB9 140 N 
421.0733 M211 1157732 dtn2_28 ADB9 140 N 
423.4223 M212 1165139 dtn1_25 ADB9 140 N 
426.5651 M213 2082907 dtn2_27 ADB9 140 N 
427.3511 M214 2295734 dtn1_24 ADB9 140 N 
427.8725 M215 2568421 dtn1_25 ADB9 140 N 
429.2947 M216 2739285 dtn8_46 ADB9 140 N 
430.9303 M217 2431603 dtn7_41 ADB9 140 N 
432.6273 M218 1755220 dtn5_37 ADB9 140 N 
434.2744 M219 2525429 dtn5_36 ADB9 140 N 
